code,locale,name,descr
USD,en,US Dollar,United States dollar
USD,de,US-Dollar,US-Dollar
USD,fr,Dollar américain,Dollar des États-Unis
EUR,en,Euro,Euro
EUR,de,Euro,Euro
EUR,fr,Euro,Euro
GBP,en,British Pound,Pound sterling
GBP,de,Britisches Pfund,Pfund Sterling
GBP,fr,Livre sterling,Livre sterling
JPY,en,Japanese Yen,Japanese yen
JPY,de,Japanischer Yen,Japanischer Yen
JPY,fr,Yen japonais,Yen japonais
CNY,en,Chinese Yuan,Chinese yuan
CNY,de,Chinesischer Yuan,Chinesischer Yuan
CNY,fr,Yuan chinois,Yuan chinois
INR,en,Indian Rupee,Indian rupee
INR,de,Indische Rupie,Indische Rupie
INR,fr,Roupie indienne,Roupie indienne
BRL,en,Brazilian Real,Brazilian real
BRL,de,Brasilianischer Real,Brasilianischer Real
BRL,fr,Real brésilien,Real brésilien
AUD,en,Australian Dollar,Australian dollar
AUD,de,Australischer Dollar,Australischer Dollar
AUD,fr,Dollar australien,Dollar australien
CAD,en,Canadian Dollar,Canadian dollar
CAD,de,Kanadischer Dollar,Kanadischer Dollar
CAD,fr,Dollar canadien,Dollar canadien
CHF,en,Swiss Franc,Swiss franc
CHF,de,Schweizer Franken,Schweizer Franken
CHF,fr,Franc suisse,Franc suisse
